,code,name,project_name,countryname
656,11,Environment and natural resources management,Jordan Ozone Depleting Substances HCFC Phase-Out Project (ODS3),Hashemite Kingdom of Jordan
657,5,Trade and integration,SERBIA ROAD REHABILITATION AND SAFETY PROJECT,Republic of Serbia
658,4,Financial and private sector development,SERBIA ROAD REHABILITATION AND SAFETY PROJECT,Republic of Serbia
659,2,Public sector governance,SERBIA ROAD REHABILITATION AND SAFETY PROJECT,Republic of Serbia
660,2,Public sector governance,Revenue Administration Modernization Project,Romania
661,2,Public sector governance,Revenue Administration Modernization Project,Romania
662,11,Environment and natural resources management,Urban Scale Building Energy Efficiency and Renewable Energy,People's Republic of China
663,10,,Urban Scale Building Energy Efficiency and Renewable Energy,People's Republic of China
664,11,Environment and natural resources management,Additional Financing Energy Efficiency - Industrial Enterprises,Republic of Uzbekistan
665,2,Public sector governance,Additional Financing Energy Efficiency - Industrial Enterprises,Republic of Uzbekistan
666,10,Rural development,Zambia Water Resources Development Project,Republic of Zambia
667,11,Environment and natural resources management,Zambia Water Resources Development Project,Republic of Zambia
668,11,Environment and natural resources management,Zambia Water Resources Development Project,Republic of Zambia
669,9,Urban development,Mozambique - Integrated Growth Poles Project,Republic of Mozambique
670,4,Financial and private sector development,Mozambique - Integrated Growth Poles Project,Republic of Mozambique
671,4,Financial and private sector development,Mozambique - Integrated Growth Poles Project,Republic of Mozambique
672,10,Rural development,MZ First Agriculture Development Policy Operation AgDPO-1,Republic of Mozambique
673,10,Rural development,MZ First Agriculture Development Policy Operation AgDPO-1,Republic of Mozambique
674,4,Financial and private sector development,MZ First Agriculture Development Policy Operation AgDPO-1,Republic of Mozambique
675,10,Rural development,MZ First Agriculture Development Policy Operation AgDPO-1,Republic of Mozambique
676,11,Environment and natural resources management,MZ First Agriculture Development Policy Operation AgDPO-1,Republic of Mozambique
677,6,Social protection and risk management,Climate Resilience: Transforming Hydro-Meteorological Services,Republic of Mozambique
678,2,,Climate Resilience: Transforming Hydro-Meteorological Services,Republic of Mozambique
679,7,Social dev/gender/inclusion,PNPM Creative Communities II,Republic of Indonesia
680,8,,PNPM Creative Communities II,Republic of Indonesia
681,8,Human development,Education Sector Strategy Support Project,Republic of Nicaragua
682,11,,Education Sector Strategy Support Project,Republic of Nicaragua
683,11,Environment and natural resources management,Preparation of SREP Investment Plan,Republic of Armenia
684,7,,Preparation of SREP Investment Plan,Republic of Armenia
685,11,Environment and natural resources management,LA-Nam Et-Phou Louey Tiger Landscape Conservation Project,Lao People's Democratic Republic
686,11,,LA-Nam Et-Phou Louey Tiger Landscape Conservation Project,Lao People's Democratic Republic
687,8,Human development,Kyrgyz Health Results Based Financing,Kyrgyz Republic
688,8,Human development,Kyrgyz Health Results Based Financing,Kyrgyz Republic
689,8,Human development,Kyrgyz Health Results Based Financing,Kyrgyz Republic
690,7,Social dev/gender/inclusion,Emergency Demobilization and Transitional Reintegration Project AF,Republic of Burundi
691,3,,Emergency Demobilization and Transitional Reintegration Project AF,Republic of Burundi
692,10,Rural development,National Human and Animal Health Systems Assessment Tools and Bridges,World
693,8,Human development,National Human and Animal Health Systems Assessment Tools and Bridges,World
694,11,Environment and natural resources management,Yemen: Preparation of SREP Investment Plan,Republic of Yemen
695,10,,Yemen: Preparation of SREP Investment Plan,Republic of Yemen
696,8,Human development,Lesotho Maternal & Newborn Health PBF,Kingdom of Lesotho
697,8,Human development,Lesotho Maternal & Newborn Health PBF,Kingdom of Lesotho
698,8,Human development,Lesotho Maternal & Newborn Health PBF,Kingdom of Lesotho
699,8,Human development,Lesotho Maternal & Newborn Health PBF,Kingdom of Lesotho
700,8,Human development,Multi-Donor Trust Fund for PNG-IBBS,The Independent State of Papua New Guine
701,11,,Multi-Donor Trust Fund for PNG-IBBS,The Independent State of Papua New Guine
702,7,Social dev/gender/inclusion,"Social Inclusion and Improvement of Livelihoods of Youth, Vulnerable Women and Handicapped in Post Conflict Western Cote d&#8217;Ivoire",Republic of Cote d'Ivoire
703,8,Human development,"Social Inclusion and Improvement of Livelihoods of Youth, Vulnerable Women and Handicapped in Post Conflict Western Cote d&#8217;Ivoire",Republic of Cote d'Ivoire
704,10,Rural development,"Social Inclusion and Improvement of Livelihoods of Youth, Vulnerable Women and Handicapped in Post Conflict Western Cote d&#8217;Ivoire",Republic of Cote d'Ivoire
705,4,Financial and private sector development,BJ-PRSC 8-Eighth Poverty Reduction Suppo,Republic of Benin
706,2,Public sector governance,BJ-PRSC 8-Eighth Poverty Reduction Suppo,Republic of Benin
707,2,Public sector governance,BJ-PRSC 8-Eighth Poverty Reduction Suppo,Republic of Benin
708,10,Rural development,PE AF Sierra Rural Development Project,Republic of Peru
709,7,Social dev/gender/inclusion,PE AF Sierra Rural Development Project,Republic of Peru
710,10,Rural development,PE AF Sierra Rural Development Project,Republic of Peru
711,8,Human development,PE AF Sierra Rural Development Project,Republic of Peru
712,7,Social dev/gender/inclusion,PE AF Sierra Rural Development Project,Republic of Peru
713,8,Human development,DJ Improving Health Sector Performance,Republic of Djibouti
714,8,Human development,DJ Improving Health Sector Performance,Republic of Djibouti
715,8,Human development,DJ Improving Health Sector Performance,Republic of Djibouti
716,8,Human development,DJ Improving Health Sector Performance,Republic of Djibouti
717,8,Human development,DJ Improving Health Sector Performance,Republic of Djibouti
718,6,Social protection and risk management,Additional Financing for Social Fund for Development IV,Republic of Yemen
719,7,Social dev/gender/inclusion,Additional Financing for Social Fund for Development IV,Republic of Yemen
720,8,Human development,Additional Financing for Social Fund for Development IV,Republic of Yemen
721,6,Social protection and risk management,Additional Financing for Social Fund for Development IV,Republic of Yemen
722,8,Human development,Research and Innovation in Science and Technology Project,Republic of Indonesia
723,7,Social dev/gender/inclusion,Research and Innovation in Science and Technology Project,Republic of Indonesia
724,10,Rural development,Environmental Land Management and Rural Livelihoods Project,Republic of Tajikistan
725,11,Environment and natural resources management,Environmental Land Management and Rural Livelihoods Project,Republic of Tajikistan
726,11,Environment and natural resources management,Environmental Land Management and Rural Livelihoods Project,Republic of Tajikistan
727,10,Rural development,Environmental Land Management and Rural Livelihoods Project,Republic of Tajikistan
728,10,Rural development,Environmental Land Management and Rural Livelihoods Project,Republic of Tajikistan
729,11,Environment and natural resources management,Vietnam - Coastal Resources for Sustainable Development,Socialist Republic of Vietnam
730,10,Rural development,Vietnam - Coastal Resources for Sustainable Development,Socialist Republic of Vietnam
731,10,Rural development,Vietnam - Coastal Resources for Sustainable Development,Socialist Republic of Vietnam
732,9,Urban development,China GEF Large City Congestion and Carbon Reduction Project,People's Republic of China
733,11,Environment and natural resources management,China GEF Large City Congestion and Carbon Reduction Project,People's Republic of China
734,11,Environment and natural resources management,China GEF Large City Congestion and Carbon Reduction Project,People's Republic of China
735,8,Human development,Sudan Basic Education Recovery Project,Republic of the Sudan
736,8,Human development,Sudan Basic Education Recovery Project,Republic of the Sudan
737,9,Urban development,Uganda Support to Municipal Infrastructure Development Program,Republic of Uganda
738,9,Urban development,Uganda Support to Municipal Infrastructure Development Program,Republic of Uganda
739,9,Urban development,Local Governance and Service Delivery Project,Republic of South Sudan
740,7,Social dev/gender/inclusion,Local Governance and Service Delivery Project,Republic of South Sudan
741,7,Social dev/gender/inclusion,Local Governance and Service Delivery Project,Republic of South Sudan
742,9,Urban development,Local Governance and Service Delivery Project,Republic of South Sudan
743,6,Social protection and risk management,MZ-Social Protection project,Republic of Mozambique
744,10,Rural development,MZ-Social Protection project,Republic of Mozambique
745,6,Social protection and risk management,MZ-Social Protection project,Republic of Mozambique
746,2,Public sector governance,Mozambique Mining and Gas Technical Assistance Project,Republic of Mozambique
747,10,Rural development,Mozambique Mining and Gas Technical Assistance Project,Republic of Mozambique
748,11,Environment and natural resources management,Mozambique Mining and Gas Technical Assistance Project,Republic of Mozambique
749,10,Rural development,Agricultural Competitiveness and Diversification Project,Republic of Mali
750,10,Rural development,Agricultural Competitiveness and Diversification Project,Republic of Mali
751,10,Rural development,Agricultural Competitiveness and Diversification Project,Republic of Mali
752,10,Rural development,Agricultural Competitiveness and Diversification Project,Republic of Mali
753,10,Rural development,Agricultural Competitiveness and Diversification Project,Republic of Mali
754,7,Social dev/gender/inclusion,Comoros Emergency Response Project (Additional Financing),Union of the Comoros
755,10,Rural development,Comoros Emergency Response Project (Additional Financing),Union of the Comoros
756,10,Rural development,Comoros Emergency Response Project (Additional Financing),Union of the Comoros
757,6,Social protection and risk management,Comoros Emergency Response Project (Additional Financing),Union of the Comoros
758,8,Human development,Sri Lanka - Second Health Sector Development Project,Democratic Socialist Republic of Sri Lan
759,8,Human development,Sri Lanka - Second Health Sector Development Project,Democratic Socialist Republic of Sri Lan
760,8,Human development,Sri Lanka - Second Health Sector Development Project,Democratic Socialist Republic of Sri Lan
761,8,Human development,Sri Lanka - Second Health Sector Development Project,Democratic Socialist Republic of Sri Lan
762,4,Financial and private sector development,SME ENERGY EFFICIENCY,Republic of Turkey
763,11,Environment and natural resources management,SME ENERGY EFFICIENCY,Republic of Turkey
764,10,Rural development,Second DPL in support of the Plan Maroc Vert,Kingdom of Morocco
765,10,Rural development,Second DPL in support of the Plan Maroc Vert,Kingdom of Morocco
766,10,Rural development,Second DPL in support of the Plan Maroc Vert,Kingdom of Morocco
767,10,Rural development,Second DPL in support of the Plan Maroc Vert,Kingdom of Morocco
768,2,Public sector governance,MU -Second Public Sector Performance DPL,Republic of Mauritius
769,8,Human development,MU -Second Public Sector Performance DPL,Republic of Mauritius
770,5,Trade and integration,MU -Second Public Sector Performance DPL,Republic of Mauritius
771,2,Public sector governance,MU -Second Public Sector Performance DPL,Republic of Mauritius
772,6,Social protection and risk management,MU -Second Public Sector Performance DPL,Republic of Mauritius
773,8,Human development,Disease Prevention and Control Project,Republic of Armenia
774,8,Human development,Disease Prevention and Control Project,Republic of Armenia
775,8,Human development,Disease Prevention and Control Project,Republic of Armenia
776,8,Human development,Disease Prevention and Control Project,Republic of Armenia
777,4,Financial and private sector development,Turkey SME&#12288;Energy Efficiency Project,Republic of Turkey
778,11,Environment and natural resources management,Turkey SME&#12288;Energy Efficiency Project,Republic of Turkey
779,4,Financial and private sector development,Mauritius Second Private Sector Competitiveness DPL,Republic of Mauritius
780,4,Financial and private sector development,Mauritius Second Private Sector Competitiveness DPL,Republic of Mauritius
781,4,Financial and private sector development,Tanzania Poverty Reduction Support Credit 10,United Republic of Tanzania
782,5,Trade and integration,Tanzania Poverty Reduction Support Credit 10,United Republic of Tanzania
783,2,Public sector governance,Tanzania Poverty Reduction Support Credit 10,United Republic of Tanzania
784,1,Economic management,Tanzania Poverty Reduction Support Credit 10,United Republic of Tanzania
785,2,Public sector governance,Tanzania Poverty Reduction Support Credit 10,United Republic of Tanzania
786,6,Social protection and risk management,Second Land Administration Project (PRODEP II),Republic of Nicaragua
787,7,Social dev/gender/inclusion,Second Land Administration Project (PRODEP II),Republic of Nicaragua
788,11,Environment and natural resources management,Second Land Administration Project (PRODEP II),Republic of Nicaragua
789,3,Rule of law,Second Land Administration Project (PRODEP II),Republic of Nicaragua
790,10,Rural development,Second Land Administration Project (PRODEP II),Republic of Nicaragua
791,10,Rural development,Nigeria - State Education Program Investment Project,Federal Republic of Nigeria
792,8,Human development,Nigeria - State Education Program Investment Project,Federal Republic of Nigeria
793,8,Human development,Nigeria - State Education Program Investment Project,Federal Republic of Nigeria
794,4,Financial and private sector development,Energy Sector Capacity Building Project (ESCBP),United Republic of Tanzania
795,7,Social dev/gender/inclusion,Energy Sector Capacity Building Project (ESCBP),United Republic of Tanzania
796,11,Environment and natural resources management,Energy Sector Capacity Building Project (ESCBP),United Republic of Tanzania
797,11,Environment and natural resources management,Energy Sector Capacity Building Project (ESCBP),United Republic of Tanzania
798,4,Financial and private sector development,Energy Sector Capacity Building Project (ESCBP),United Republic of Tanzania
799,7,Social dev/gender/inclusion,Nigeria Youth Employment & Social Support Operation,Federal Republic of Nigeria
800,6,Social protection and risk management,Nigeria Youth Employment & Social Support Operation,Federal Republic of Nigeria
801,6,Social protection and risk management,Nigeria Youth Employment & Social Support Operation,Federal Republic of Nigeria
802,6,Social protection and risk management,Nigeria Youth Employment & Social Support Operation,Federal Republic of Nigeria
803,1,Economic management,Second Programmatic Development Policy Loan,Republic of Panama
804,6,Social protection and risk management,Second Programmatic Development Policy Loan,Republic of Panama
805,2,Public sector governance,Second Programmatic Development Policy Loan,Republic of Panama
806,6,Social protection and risk management,Second Programmatic Development Policy Loan,Republic of Panama
807,2,Public sector governance,Second Programmatic Development Policy Loan,Republic of Panama
808,2,Public sector governance,TZ First Power and Gas Sector DPO,United Republic of Tanzania
809,4,Financial and private sector development,TZ First Power and Gas Sector DPO,United Republic of Tanzania
810,4,Financial and private sector development,TZ First Power and Gas Sector DPO,United Republic of Tanzania
811,6,Social protection and risk management,Cameroon Social Safety Nets,Republic of Cameroon
812,7,Social dev/gender/inclusion,Cameroon Social Safety Nets,Republic of Cameroon
813,6,Social protection and risk management,Cameroon Social Safety Nets,Republic of Cameroon
814,2,Public sector governance,NE - Transp Sector Program Support Project Addit Fin,Republic of Niger
815,10,Rural development,NE - Transp Sector Program Support Project Addit Fin,Republic of Niger
816,4,Financial and private sector development,NE - Transp Sector Program Support Project Addit Fin,Republic of Niger
817,2,Public sector governance,Second Growth and Competitiveness Grant,Burkina Faso
818,4,Financial and private sector development,Second Growth and Competitiveness Grant,Burkina Faso
819,10,Rural development,Second Growth and Competitiveness Grant,Burkina Faso
820,2,Public sector governance,Second Growth and Competitiveness Grant,Burkina Faso
821,8,Human development,Second Growth and Competitiveness Grant,Burkina Faso
822,9,Urban development,CN: Beijing Rooftop Solar Photovoltaic Scale-Up (Sunshine Schools) Project,People's Republic of China
823,11,Environment and natural resources management,CN: Beijing Rooftop Solar Photovoltaic Scale-Up (Sunshine Schools) Project,People's Republic of China
824,10,,Liaoning Coastal Economic Zone Urban Infrastructure and Environmental Management Project,People's Republic of China
825,11,Environment and natural resources management,CN-Jiangxi Poyang Lake Basin and Ecological Economic Zone Small Town Development Project,People's Republic of China
826,10,Rural development,CN-Jiangxi Poyang Lake Basin and Ecological Economic Zone Small Town Development Project,People's Republic of China
827,11,Environment and natural resources management,CN-Jiangxi Poyang Lake Basin and Ecological Economic Zone Small Town Development Project,People's Republic of China
828,11,Environment and natural resources management,CN-Jiangxi Poyang Lake Basin and Ecological Economic Zone Small Town Development Project,People's Republic of China
829,11,Environment and natural resources management,Green Energy Schemes for Low-carbon City in Shanghai,People's Republic of China
830,7,,Green Energy Schemes for Low-carbon City in Shanghai,People's Republic of China
831,11,Environment and natural resources management,"Green Energy Schemes for Low-carbon City in Shanghai, China",People's Republic of China
832,11,Environment and natural resources management,"Green Energy Schemes for Low-carbon City in Shanghai, China",People's Republic of China
833,11,Environment and natural resources management,Jiangxi Wuxikou Integrated Flood Management Project,People's Republic of China
834,6,Social protection and risk management,Jiangxi Wuxikou Integrated Flood Management Project,People's Republic of China
835,4,Financial and private sector development,"VU:  Telecommunications and ICT TA, Additional Financing",Republic of Vanuatu
836,6,,"VU:  Telecommunications and ICT TA, Additional Financing",Republic of Vanuatu
837,4,Financial and private sector development,Economic Management Competitiveness Credit 1,Socialist Republic of Vietnam
838,2,Public sector governance,Economic Management Competitiveness Credit 1,Socialist Republic of Vietnam
839,2,Public sector governance,Economic Management Competitiveness Credit 1,Socialist Republic of Vietnam
840,4,Financial and private sector development,Economic Management Competitiveness Credit 1,Socialist Republic of Vietnam
841,1,Economic management,Economic Management Competitiveness Credit 1,Socialist Republic of Vietnam
842,2,Public sector governance,PH - PH Development Policy Loan 2,Republic of the Philippines
843,4,Financial and private sector development,PH - PH Development Policy Loan 2,Republic of the Philippines
844,8,Human development,PH - PH Development Policy Loan 2,Republic of the Philippines
845,8,Human development,PH - PH Development Policy Loan 2,Republic of the Philippines
846,4,Financial and private sector development,PH - PH Development Policy Loan 2,Republic of the Philippines
847,4,Financial and private sector development,MH:  First ICT Sector Development Operation,Republic of the Marshall Islands
848,4,Financial and private sector development,MH:  First ICT Sector Development Operation,Republic of the Marshall Islands
849,10,Rural development,MH:  First ICT Sector Development Operation,Republic of the Marshall Islands
850,8,Human development,Afghanistan - Second Skills Development Project,Islamic State of Afghanistan
851,2,Public sector governance,Afghanistan - Second Skills Development Project,Islamic State of Afghanistan
852,8,Human development,Afghanistan - Second Skills Development Project,Islamic State of Afghanistan
853,6,Social protection and risk management,Emergency Agriculture Support Project,Republic of Moldova
854,10,Rural development,Emergency Agriculture Support Project,Republic of Moldova
855,10,Rural development,Agricultural Productivity Program for Southern Africa (APPSA),Africa
856,5,Trade and integration,Agricultural Productivity Program for Southern Africa (APPSA),Africa
857,5,Trade and integration,Agricultural Productivity Program for Southern Africa (APPSA),Africa
858,2,Public sector governance,Pakistan: Second Sindh Education Sector Project,Islamic Republic of Pakistan
859,8,Human development,Pakistan: Second Sindh Education Sector Project,Islamic Republic of Pakistan
860,11,Environment and natural resources management,AF-Forest and Adjacent Land Management,Republic of Benin
861,11,Environment and natural resources management,AF-Forest and Adjacent Land Management,Republic of Benin
862,11,Environment and natural resources management,AF-Forest and Adjacent Land Management,Republic of Benin
863,10,Rural development,AF-Forest and Adjacent Land Management,Republic of Benin
864,11,Environment and natural resources management,AF-Forest and Adjacent Land Management,Republic of Benin
865,7,Social dev/gender/inclusion,Rwanda Second Support to Social Protection System,Republic of Rwanda
866,6,Social protection and risk management,Rwanda Second Support to Social Protection System,Republic of Rwanda
867,6,Social protection and risk management,Rwanda Second Support to Social Protection System,Republic of Rwanda
868,6,Social protection and risk management,Rwanda Second Support to Social Protection System,Republic of Rwanda
869,6,Social protection and risk management,Rwanda Second Support to Social Protection System,Republic of Rwanda
870,11,Environment and natural resources management,BJ-Forest & Adjacent Land Mgmt Addit Fin,Republic of Benin
871,10,Rural development,BJ-Forest & Adjacent Land Mgmt Addit Fin,Republic of Benin
872,11,Environment and natural resources management,Kiribati Grid  Connected Solar PV Project,Republic of Kiribati
873,11,Environment and natural resources management,Kiribati Grid  Connected Solar PV Project,Republic of Kiribati
874,4,Financial and private sector development,Economic Competitiveness Support Program DPL,Kingdom of Morocco
875,5,Trade and integration,Economic Competitiveness Support Program DPL,Kingdom of Morocco
876,2,Public sector governance,Economic Competitiveness Support Program DPL,Kingdom of Morocco
877,5,Trade and integration,Economic Competitiveness Support Program DPL,Kingdom of Morocco
878,7,Social dev/gender/inclusion,Morocco Social and Integrated Agriculture,Kingdom of Morocco
879,10,Rural development,Morocco Social and Integrated Agriculture,Kingdom of Morocco
880,8,Human development,Second Additional Financing to the North Sudan Decentralized Health System Development Project,Republic of the Sudan
881,8,Human development,Second Additional Financing to the North Sudan Decentralized Health System Development Project,Republic of the Sudan
882,8,Human development,Second Additional Financing to the North Sudan Decentralized Health System Development Project,Republic of the Sudan
883,8,Human development,Second Additional Financing to the North Sudan Decentralized Health System Development Project,Republic of the Sudan
884,8,Human development,Sector Support for Education Reform Project,Kyrgyz Republic
885,11,,Sector Support for Education Reform Project,Kyrgyz Republic
886,10,Rural development,Additional Financing to Health System Improvement Project,Republic of Uzbekistan
887,8,Human development,Additional Financing to Health System Improvement Project,Republic of Uzbekistan
888,8,Human development,Additional Financing to Health System Improvement Project,Republic of Uzbekistan
889,8,Human development,Additional Financing to Health System Improvement Project,Republic of Uzbekistan
890,7,Social dev/gender/inclusion,MSME Development Project for Inclusive Growth,Hashemite Kingdom of Jordan
891,4,Financial and private sector development,MSME Development Project for Inclusive Growth,Hashemite Kingdom of Jordan
892,10,Rural development,"ID-TF PNPM Pro-Poor Planning, Budgeting and Monitoring Program",Republic of Indonesia
893,7,Social dev/gender/inclusion,"ID-TF PNPM Pro-Poor Planning, Budgeting and Monitoring Program",Republic of Indonesia
894,2,Public sector governance,ID-PNPM Village Training Project,Republic of Indonesia
895,10,Rural development,ID-PNPM Village Training Project,Republic of Indonesia
896,2,Public sector governance,ID-PNPM Village Training Project,Republic of Indonesia
897,6,Social protection and risk management,Yemen Household Budget Survey,Republic of Yemen
898,6,Social protection and risk management,Yemen Household Budget Survey,Republic of Yemen
899,6,Social protection and risk management,Yemen Household Budget Survey,Republic of Yemen
900,1,Economic management,Yemen Household Budget Survey,Republic of Yemen
901,8,Human development,Higher Education Development Policy Program - Third Operation,Socialist Republic of Vietnam
902,2,Public sector governance,Higher Education Development Policy Program - Third Operation,Socialist Republic of Vietnam
903,2,Public sector governance,Higher Education Development Policy Program - Third Operation,Socialist Republic of Vietnam
904,2,Public sector governance,Higher Education Development Policy Program - Third Operation,Socialist Republic of Vietnam
905,8,Human development,Vietnam School Readiness Promotion Project,Socialist Republic of Vietnam
906,5,,Vietnam School Readiness Promotion Project,Socialist Republic of Vietnam
907,8,Human development,Ethiopia Health MDG Support Operation,Federal Democratic Republic of Ethiopia
908,10,,Ethiopia Health MDG Support Operation,Federal Democratic Republic of Ethiopia
909,5,Trade and integration,China:Fujian Meizhou Bay Navigation Improvement Project,People's Republic of China
910,5,Trade and integration,China:Fujian Meizhou Bay Navigation Improvement Project,People's Republic of China
911,8,Human development,Afghanistan: System Enhancement for Health Action in Transition Project,Islamic State of Afghanistan
912,8,Human development,Afghanistan: System Enhancement for Health Action in Transition Project,Islamic State of Afghanistan
913,8,Human development,Afghanistan: System Enhancement for Health Action in Transition Project,Islamic State of Afghanistan
914,8,Human development,Afghanistan: System Enhancement for Health Action in Transition Project,Islamic State of Afghanistan
915,8,Human development,Afghanistan: System Enhancement for Health Action in Transition Project,Islamic State of Afghanistan
916,6,Social protection and risk management,Community-based Livelihood Support for the Urban Poor,Kingdom of Thailand
917,9,Urban development,Community-based Livelihood Support for the Urban Poor,Kingdom of Thailand
918,7,Social dev/gender/inclusion,Community-based Livelihood Support for the Urban Poor,Kingdom of Thailand
919,10,Rural development,AusAid TA for Vietnam Rural Water Supply and Sanitation PforR,Socialist Republic of Vietnam
920,4,,AusAid TA for Vietnam Rural Water Supply and Sanitation PforR,Socialist Republic of Vietnam
921,10,Rural development,Reducing the Vulnerability of Small Farmers to Price Risk,Republic of Nicaragua
922,7,,Reducing the Vulnerability of Small Farmers to Price Risk,Republic of Nicaragua
923,10,Rural development,AFSF-Burkina Faso-FCPB,Burkina Faso
924,10,Rural development,AFSF-Burkina Faso-FCPB,Burkina Faso
925,4,Financial and private sector development,PNG Energy Sector Development Project,The Independent State of Papua New Guine
926,10,Rural development,PNG Energy Sector Development Project,The Independent State of Papua New Guine
927,11,Environment and natural resources management,GM- PG Energy Sector Development Project,The Independent State of Papua New Guine
928,4,Financial and private sector development,GM- PG Energy Sector Development Project,The Independent State of Papua New Guine
929,10,Rural development,GM- PG Energy Sector Development Project,The Independent State of Papua New Guine
930,9,Urban development,Rwanda Electricity Access additional Financing,Republic of Rwanda
931,4,Financial and private sector development,Rwanda Electricity Access additional Financing,Republic of Rwanda
932,11,Environment and natural resources management,Rwanda Electricity Access additional Financing,Republic of Rwanda
933,10,Rural development,Rwanda Electricity Access additional Financing,Republic of Rwanda
934,4,Financial and private sector development,Rwanda Electricity Access additional Financing,Republic of Rwanda
935,7,Social dev/gender/inclusion,RY-Road Asset Management Project,Republic of Yemen
936,10,Rural development,RY-Road Asset Management Project,Republic of Yemen
937,11,Environment and natural resources management,Building Resilience to Climate Related Hazards,Nepal
938,6,Social protection and risk management,Building Resilience to Climate Related Hazards,Nepal
939,11,Environment and natural resources management,Building Resilience to Climate Related Hazards,Nepal
940,9,Urban development,Solid Waste Sector DPL3,Kingdom of Morocco
941,11,Environment and natural resources management,Solid Waste Sector DPL3,Kingdom of Morocco
942,11,Environment and natural resources management,Solid Waste Sector DPL3,Kingdom of Morocco
943,7,Social dev/gender/inclusion,Yemen: Second Basic Education Development Project,Republic of Yemen
944,7,Social dev/gender/inclusion,Yemen: Second Basic Education Development Project,Republic of Yemen
945,8,Human development,Yemen: Second Basic Education Development Project,Republic of Yemen
946,6,Social protection and risk management,Emergency Crisis Recovery Project,Republic of Yemen
947,8,Human development,Emergency Crisis Recovery Project,Republic of Yemen
948,8,Human development,Emergency Crisis Recovery Project,Republic of Yemen
949,8,Human development,Emergency Crisis Recovery Project,Republic of Yemen
950,10,Rural development,AFSF - Asia - Cambodia - AMRET,Kingdom of Cambodia
951,4,Financial and private sector development,AFSF - Asia - Cambodia - AMRET,Kingdom of Cambodia
952,10,Rural development,AFSF - Asia - Cambodia - AMRET,Kingdom of Cambodia
953,8,Human development,Nepal Agriculture and Food Security Project,Nepal
954,10,Rural development,Nepal Agriculture and Food Security Project,Nepal
955,10,Rural development,Nepal Agriculture and Food Security Project,Nepal
956,11,Environment and natural resources management,Climate Resilient Participatory Afforestation and Reforestation Project,People's Republic of Bangladesh
957,11,Environment and natural resources management,Climate Resilient Participatory Afforestation and Reforestation Project,People's Republic of Bangladesh
958,11,Environment and natural resources management,Climate Resilient Participatory Afforestation and Reforestation Project,People's Republic of Bangladesh
959,11,Environment and natural resources management,Climate Resilient Participatory Afforestation and Reforestation Project,People's Republic of Bangladesh
960,11,Environment and natural resources management,Solid Waste Management OBA Pilot in West Bank,Middle East and North Africa
961,4,Financial and private sector development,Solid Waste Management OBA Pilot in West Bank,Middle East and North Africa
962,9,Urban development,Solid Waste Management OBA Pilot in West Bank,Middle East and North Africa
963,8,Human development,Kazakhstan - Youth Corps program,Republic of Kazakhstan
964,8,,Kazakhstan - Youth Corps program,Republic of Kazakhstan
965,8,Human development,Health Sector Strategic Plan Support Additional Financing,Democratic Republic of Timor-Leste
966,2,Public sector governance,Health Sector Strategic Plan Support Additional Financing,Democratic Republic of Timor-Leste
967,2,Public sector governance,PEFA Study for Local Governments in Croatia,Republic of Croatia
968,5,,PEFA Study for Local Governments in Croatia,Republic of Croatia
969,6,Social protection and risk management,Improving Resilience to Seismic Risk,Kingdom of Bhutan
970,10,,Improving Resilience to Seismic Risk,Kingdom of Bhutan
971,6,Social protection and risk management,Enhancing the Climate Resilience of the West Coast Road,Samoa
972,6,,Enhancing the Climate Resilience of the West Coast Road,Samoa
973,4,Financial and private sector development,Microfinance Development Project,Russian Federation
974,4,Financial and private sector development,Microfinance Development Project,Russian Federation
975,4,Financial and private sector development,Sierra Leone Energy Access Project - Sierra Leone Infrastructure Development Fund,Republic of Sierra Leone
976,8,,Sierra Leone Energy Access Project - Sierra Leone Infrastructure Development Fund,Republic of Sierra Leone
977,10,Rural development,LIFELINE ROAD NETWORK IMPROVEMENT PROJECT,Republic of Armenia
978,10,Rural development,LIFELINE ROAD NETWORK IMPROVEMENT PROJECT,Republic of Armenia
979,10,Rural development,Emergency Livestock Feed Access Project,Burkina Faso
980,8,,Emergency Livestock Feed Access Project,Burkina Faso
981,6,Social protection and risk management,JSDF Strengthening the Livelihoods and Voice of Vulnerable and Disabled Persons in Armenia,Republic of Armenia
982,7,Social dev/gender/inclusion,JSDF Strengthening the Livelihoods and Voice of Vulnerable and Disabled Persons in Armenia,Republic of Armenia
983,6,Social protection and risk management,JSDF Strengthening the Livelihoods and Voice of Vulnerable and Disabled Persons in Armenia,Republic of Armenia
984,6,Social protection and risk management,JSDF Strengthening the Livelihoods and Voice of Vulnerable and Disabled Persons in Armenia,Republic of Armenia
985,5,Trade and integration,Mekong Delta Transport Infrastructure Development Project - Additional Financing,Socialist Republic of Vietnam
986,10,Rural development,Mekong Delta Transport Infrastructure Development Project - Additional Financing,Socialist Republic of Vietnam
987,4,Financial and private sector development,Mekong Delta Transport Infrastructure Development Project - Additional Financing,Socialist Republic of Vietnam
988,5,Trade and integration,Mekong Delta Transport Infrastructure Development Project - Additional Financing,Socialist Republic of Vietnam
989,11,Environment and natural resources management,SUSTAINABLE AGRICULTURE AND CLIMATE CHANGE MITIGATION PROJECT (GEF),Republic of Uzbekistan
